domain,person_name,person_facebook_url,person_twitter_url,person_linkedin_url,country_code
01zhuanche.com,Dong Wei,,,,CHN
17zuoye.com,Dun Xiao,,,,
17zuoye.com,Liu Chang,,,,CHN
allegro.pl,Arjan Bakker,,,,
1mg.com,Prashant Tandon,facebook.com/prashant.tandon,twitter.com/tandon_prashant,linkedin.com/in/prashant-tandon-2802a4,IND
1mg.com,Gaurav Agarwal,,,,
24-m.com,Naoki Ota,,,linkedin.com/in/naoki-ota-5436802,USA
24-m.com,Yet-Ming Chiang,,,,
beginlearning.com,Noelle Millholt,,,,
believe.com,Nicolas Laclias,,,,
bibit.id,Johny Susanto,,,,
bloxroute.com,Soumya Basu,,,,
bluespherebio.com,Constantinos Panousis,,,,
80acresfarms.com,Mike Zelkind,,,,
bizongo.com,Aniket Deb,,,,
8fig.co,Assaf Dagan,,,,
99app.com,Ariel Lambrecht,,,,
99app.com,Paulo Veras,,,,
celcoin.com.br,Adriano Meirinho,,,,
celcoin.com.br,Fabio Rocha,,,,
celcoin.com.br,Marcelo França Corrêa,,,,
a9oncology.com,Ian McBeath,,,linkedin.com/in/ian-mcbeath-1308b75,CAN
abatatx.com,Richard Ransohoff,,,,
abclonal.com,Wu Zhicai,,,,CHN
cockroachlabs.com,Benjamin Darnell,,,,
abilitynetwork.com,Douglas Bertozzi,,,linkedin.com/in/douglas-bertozzi-4966a2,USA
abilitynetwork.com,Amy Coulter,,,,
coinbase.com,Mario Bozic,,,,
ablativesolutions.com,Kate Rumrill,,,linkedin.com/in/kate-rumrill-b400397,USA
aboutyou.de,Jan Hildebrand,,twitter.com/h1brand?lang=en,linkedin.com/in/hildebrandjan,DEU
coolblue.nl,Paul de Jong,,,,
acacia-inc.com,Raj Shanmugaraj,,,linkedin.com/in/raj-shanmugaraj-ba38b94,USA
deliveryhero.com,Nikita Fahrenholz,,,,
bolt.eu,Martin Villig,,,,
bolt.eu,Oliver Leisalu,,,,
acerta-pharma.com,Jurriaan Dekkers,,,linkedin.com/in/jurriaan-dekkers-b76605,USA
acewill.cn,Lingbo Kong,,,linkedin.com/in/joshua-lingbo-kong-650a1214,CHN
achronix.com,Robert Blake,,,linkedin.com/in/robert-blake-a248ba2,USA
achronix.com,Virantha Ekanayake,,,,
acrisure.com,Ricky Norris,,,,
actcommodities.com,Bram Bastiaansen,,,,
actelion.com,Thomas Widmann,,,,CHE
actelion.com,Walter Fischli,,,,
actifio.com,David Chang,,,,
actifio.com,Edward Durkin,,,linkedin.com/in/ed-durkin-36362a24,USA
ada.cx,David Hariri,,,,
ada.cx,Mike Murchison,,,,
adagene.com,Peter (Peizhi) Luo,,,,
adagene.com,Steven Fischkoff,,,linkedin.com/in/stevenfischkoff,CHN
1mg.com,Sameer Maheshwari,,,,
adctherapeutics.com,Ameet Mallik,,,linkedin.com/in/ameet-mallik-1002293,CHE
adctherapeutics.com,Chris Martin,,,,
addepar.com,Eric Poirier,,twitter.com/epoirier7,linkedin.com/in/epoirier,USA
adenza.com,Josh Geller,,,linkedin.com/in/joshua-geller-5010772,USA
adenza.com,Kishore Bopardikar,,,,
fictiv.com,Dave Evans,,,,
adverity.com,Martin Brunthaler,,,,
aeratx.com,Akin Akinc,,,linkedin.com/in/akin-akinc-38b15145,USA
aero.com,Uma Subramanian,,,linkedin.com/in/uma-subramanian-1090383,USA
aeroht.com,Xiaopeng He,,,linkedin.com/in/xiaopeng-he-41615484,CHN
aeroht.com,Zhao Deli,,,,
genmab.com,Florian Schönharting,,,,
aetion.com,Jeremy Rassen,,,,
aetion.com,Carolyn Magill,,,linkedin.com/in/carolyn-m-088246,USA
agbo.com,Marian Koltai-Levine,,,linkedin.com/in/marian-koltai-levine-7a20159,USA
agentsync.io,Niranjan Sabharwal,,,linkedin.com/in/akaniji,USA
ageoflearning.com,Alex Galvagni,,,linkedin.com/in/alexgalvagni,USA
ageoflearning.com,Doug Dohring,,,,
agotoz.com,Zheng Li,,,,CHN
agriconomie.com,Paolin Pascot,,,,
aidoc.com,Elad Walach,,twitter.com/elad_walach,linkedin.com/in/elad-walach-b3439613,ISR
aidoc.com,Gal Yaniv,,,,
aihuishou.com,Wenjun Sun,,,,
impact.com,Keith Lasko,,,,
indmoney.com,Dhruv Pathak,,,,
airalo.com,Ahmet Bahadır Özdemir,,,linkedin.com/in/bahadirozdemir,USA
ajaxtherapeutics.com,Martin Vogelbaum,,,linkedin.com/in/martin-vogelbaum-9448778,USA
ajaxtherapeutics.com,Ross Levine,,,,
ceracare.co.uk,Marek Sacha,,,,
ceracare.co.uk,Martin Ocenas,,,,
akeneo.com,Frederic de Gombert,,twitter.com/FdeGombert,linkedin.com/in/fredericdegombert,FRA
akrostar-tech.com,Zeng Keqiang,,,,CHN
aktisoncology.com,Brian Goodman,,,linkedin.com/in/brian-goodman-8753a13,USA
chargebee.com,Saravanan KP,,,,
alan.com,Jean Charles Samuelian,,twitter.com/jcsamuelian,linkedin.com/in/jcsamuelian,FRA
albert.com,Andrzej Baraniak,,,,
alchemab.com,Young T Kwon,facebook.com/young.kwon.1800,,linkedin.com/in/youngtkwon,GBR
checkr.com,Daniel Yanisse,,,,
alderbio.com,John Latham,,,,
aledia.com,Giorgio Anania,,,,
aleo.org,Artem Kulesha,,twitter.com/alekseevich_amb,linkedin.com/in/artem-kulesha-485013197,USA
aleph-farms.com,Shulamit Levenberg,,,,
alibaba.com,Karl Wehner,,,linkedin.com/in/karlwehner,CHN
alifsemi.com,Reza Kazerounian,,,,
alifsemi.com,Syed Ali,,,linkedin.com/in/syed-ali-9b87a41,USA
allakos.com,Adam Tomasi,,,linkedin.com/pub/adam-tomasi/0/406/627,USA
allakos.com,Nenad Tomasevic,,,,
clarabridge.com,Gene Sohn,,,,
allego.eu,Steven Salo,,,linkedin.com/in/steven-salo-702a4057,NLD
allegro.pl,François Nuyts,,,linkedin.com/in/francois-nuyts-87082/?originalSubdomain=pl,POL
allfunds.com,Juan Alcaraz,,,,
alliancemagnesium.com,Joel Fournier,,,linkedin.com/in/joel-fournier-b9ab3a5,CAN
allogene.com,Arie Belldegrun,,,,
allovir.com,Ann Leen,,,linkedin.com/in/ann-leen-49888916a,USA
allovir.com,John Wilson,,,,
livingsocial.com,Aaron Batalion,,,,
livingsocial.com,Eddie Frederick,,,,
alpsentek.com,Jian Deng,,,,CHE
merqueo.com,Sebastian Noguera Escallon,,,,
cmrsurgical.com,Justin Floyd,,,,
movableink.com,Michael Nutt,,,,
amagi.com,Srinivasan KA,,,,
ambagontx.com,Scott Clarke,,,linkedin.com/in/scott-clarke-713a441,USA
ambarella.com,Fermi Wang,,,,
ambarella.com,Les Kohn,,,,
amicusrx.com,John F. Crowley,,,,
amicusrx.com,Sol Barer,,,linkedin.com/in/sol-barer-050b67aa,USA
am-pharma.com,Paul Leufkens,,,,
amrytpharma.com,Joseph Wiley,,,,
amrytpharma.com,Scott Minick,,,linkedin.com/in/scott-minick-6a52975,USA
anaplan.com,Frank Calderoni,,twitter.com/frank_calderoni,linkedin.com/in/frankacalderoni,USA
anaplan.com,Sue Haddleton,,,,
ancora.re,Jeff Kingsbury,,,,
ancora.re,Josh Parker,,,linkedin.com/in/joshparkerdurham,USA
coherus.com,Stephen C. Glover,,,,
ane56.com,Wang Yongjun,,,linkedin.com/in/yongjun-wang-510a0533,CHN
oishii.com,Hiroki Koga,,,,
anjipharma.com,Yiwei Zong,,,linkedin.com/in/yiwei-zong-59628015/?originalSubdomain=cn,USA
annapurnafinance.in,Gobinda Chandra Pattnaik,,,,IND
antheia.bio,Christina Smolke,,,,
ongrin.com,Jonathan Lewy,,,,
ongrin.com,Karime German Jalil,,,,
oni.bio,Achillefs Kapanidis,,,,
oni.bio,Bo Jing,,,,
anuviaplantnutrients.com,Amy Yoder,,,linkedin.com/in/amy-yoder-24a37111,USA
anywr-group.com,Olivier Desurmont,,,,
apeel.com,James Rogers,,,,
conduit.com,Dror Erez,,,,
conduit.com,Gabriel Bilczyk,,,,
conduit.com,Ronen Shilo,,,,
apiject.com,Jay Walker,,twitter.com/Jay_S_Walker,linkedin.com/in/jay-walker-5187453,USA
apiject.com,Marc Koska,,,,
apna.co,Nirmit Parikh,,,,
apna.co,Tanmay Desai,,,,
pandora.com,Basilio Aldama,,,,
papayaglobal.com,Eynat Guez,,,,
papayaglobal.com,Ruben Drong,,,,
paper.co,Philip A. Cutler,,,,
apptio.com,Sunny Gupta,,,,
apriori.com,Michael Philpott,,,,
aptusindia.com,M Anandan,,,linkedin.com/in/anandan-m-18a18597,IND
apusapps.com,Li Tao,,,,
apusapps.com,Tao Li,,,linkedin.com/in/li-tao-73a9a089,CHN
paypal.com,Jawed Karim,,,,
paypal.com,Elon Musk,,,,
aquamcorp.com,Dan Squiller,facebook.com/dan.squiller,,linkedin.com/in/dansquiller,USA
