uuid,year,valuation,revenue
053c8ad4-9a97-4063-90fb-7c267c64302d,2017,9950000000.0,4489000000.0
053c8ad4-9a97-4063-90fb-7c267c64302d,2018,4510000000.0,5388000000.0
053c8ad4-9a97-4063-90fb-7c267c64302d,2019,10772000000.0,6482500000.0
6b006cfb-d5e4-4a78-ab31-74199aa4bd28,2017,1783000000.0,903000000.0
6b006cfb-d5e4-4a78-ab31-74199aa4bd28,2018,1577000000.0,861000000.0
6b006cfb-d5e4-4a78-ab31-74199aa4bd28,2019,797700000.0,700759000.0
6b006cfb-d5e4-4a78-ab31-74199aa4bd28,2020,727000000.0,528185000.0
6b006cfb-d5e4-4a78-ab31-74199aa4bd28,2021,800200000.0,506926000.0
6b006cfb-d5e4-4a78-ab31-74199aa4bd28,2022,735900000.0,536343000.0
6b006cfb-d5e4-4a78-ab31-74199aa4bd28,2023,784200000.0,584760000.0
49f9d737-06c5-4b38-885d-a2ce5ee22541,2019,241200000.0,289084000.0
49f9d737-06c5-4b38-885d-a2ce5ee22541,2020,335300000.0,272293000.0
49f9d737-06c5-4b38-885d-a2ce5ee22541,2021,336500000.0,286224000.0
49f9d737-06c5-4b38-885d-a2ce5ee22541,2022,297500000.0,317723000.0
20245924-a20e-417d-a382-48ef02249f3a,2017,1021000000.0,1111000000.0
20245924-a20e-417d-a382-48ef02249f3a,2018,840000000.0,1342000000.0
20245924-a20e-417d-a382-48ef02249f3a,2019,628000000.0,1523695588.0
20245924-a20e-417d-a382-48ef02249f3a,2020,1193000000.0,1801521916.0
be8839be-6874-4fd3-a752-fb9b4cc22993,2017,2532000000.0,425636000.0
be8839be-6874-4fd3-a752-fb9b4cc22993,2018,4038000000.0,603704000.0
be8839be-6874-4fd3-a752-fb9b4cc22993,2019,5993000000.0,761088000.0
be8839be-6874-4fd3-a752-fb9b4cc22993,2020,13739000000.0,988760000.0
be8839be-6874-4fd3-a752-fb9b4cc22993,2021,8590000000.0,1269657000.0
be8839be-6874-4fd3-a752-fb9b4cc22993,2022,4381000000.0,1387666000.0
be8839be-6874-4fd3-a752-fb9b4cc22993,2023,6639000000.0,1561665000.0
cdb6f3c3-4f22-4c23-b0d7-fab86ac3aaa2,2020,2175000000.0,18897000.0
cdb6f3c3-4f22-4c23-b0d7-fab86ac3aaa2,2021,1659000000.0,30776000.0
cdb6f3c3-4f22-4c23-b0d7-fab86ac3aaa2,2022,491300000.0,22130000.0
cdb6f3c3-4f22-4c23-b0d7-fab86ac3aaa2,2023,212800000.0,22324000.0
6bb4595e-1714-426b-b6a7-52591252c6c3,2017,567284000000.0,107296693090.0
6bb4595e-1714-426b-b6a7-52591252c6c3,2018,547306000000.0,135769004290.0
6bb4595e-1714-426b-b6a7-52591252c6c3,2019,822193000000.0,175391000000.0
6bb4595e-1714-426b-b6a7-52591252c6c3,2020,1683423000000.0,218344000000.0
6bb4595e-1714-426b-b6a7-52591252c6c3,2021,1661567000000.0,356171000000.0
6bb4595e-1714-426b-b6a7-52591252c6c3,2022,609296000000.0,521699000000.0
6bb4595e-1714-426b-b6a7-52591252c6c3,2023,697360000000.0,800125000000.0
430e5346-c39f-456c-8d66-8d9c31cae173,2018,253100000.0,254000000.0
430e5346-c39f-456c-8d66-8d9c31cae173,2019,28340000.0,267300000.0
430e5346-c39f-456c-8d66-8d9c31cae173,2020,589600000.0,432800000.0
430e5346-c39f-456c-8d66-8d9c31cae173,2021,397900000.0,522400000.0
430e5346-c39f-456c-8d66-8d9c31cae173,2022,166200000.0,430900000.0
430e5346-c39f-456c-8d66-8d9c31cae173,2023,177800000.0,428600000.0
7236a88f-7b3a-43c2-9d2f-c32f77c97f5a,2019,26280000000.0,2275000000.0
7236a88f-7b3a-43c2-9d2f-c32f77c97f5a,2020,96876000000.0,9498000000.0
7236a88f-7b3a-43c2-9d2f-c32f77c97f5a,2021,73747000000.0,17661000000.0
