repo_id,full_name,description,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,language,license_name,topics,latest_commit_at,age
1504670,splunk/splunk-sdk-python,Splunk Software Development Kit for Python,2011-03-20 23:20:06,2024-12-02 12:02:42,2024-10-30 09:52:34,71544,698,104.0,372,Python,Apache License 2.0,,2024-10-30 09:49:46,13.76
2913517,johan/world.geo.json,Annotated geo-json geometry files for the world,2011-12-05 01:16:20,2024-12-20 21:24:55,2017-01-29 09:49:17,2190,2091,99.0,1684,,Other,,2016-11-27 23:49:37,13.05
2471804,stripe/stripe-node,Node.js library for the Stripe API.    ,2011-09-28 00:28:33,2024-12-21 17:11:38,2024-12-19 10:57:47,17401,3925,83.0,758,TypeScript,MIT License,stripe,2024-12-19 00:47:44,13.23
52182499,nyorain/vpp,Modern C++ vulkan utility library.,2016-02-21 00:11:27,2024-06-13 08:28:13,2020-12-05 01:18:43,23415,262,22.0,6,C++,Boost Software License 1.0,vulkan|abstraction|lightweight,2020-12-05 01:18:38,8.84
13205083,pablosmedina/ckite,CKite - A JVM implementation of the Raft distributed consensus algorithm written in Scala,2013-09-30 03:16:55,2024-08-24 13:05:33,2019-01-08 02:51:09,536,213,16.0,27,Scala,Other,scala|raft-consensus-algorithm|raft-algorithm|finagle|mapdb|jvm,2019-01-08 02:51:08,11.23
17277700,Pana/nrm,"NPM registry manager, fast switch between different registries: npm, cnpm, nj, taobao",2014-02-28 06:41:32,2024-12-21 03:46:04,2024-12-17 02:25:27,596,2883,42.0,255,TypeScript,MIT License,registry-manager|npm|registries|nrm,2024-12-17 02:25:05,10.81
15085215,SAP/openui5,"OpenUI5 lets you build enterprise-ready web applications, responsive to all devices, running on almost any browser of your choice.",2013-12-10 18:11:33,2024-12-21 14:02:07,2024-12-21 14:02:03,1073128,2974,277.0,1240,JavaScript,Apache License 2.0,openui5|javascript|html|css|featured|open-source,2024-12-21 12:56:16,11.03
20502024,newrelic/centurion,A mass deployment tool for Docker fleets,2014-06-04 21:44:12,2024-12-20 04:34:39,2024-08-26 19:53:14,516,1756,72.0,113,Ruby,MIT License,,2020-05-22 16:44:25,10.55
20539166,BranchMetrics/ios-branch-deep-linking-attribution,"The Branch iOS SDK for deep linking and attribution. Branch helps mobile apps grow with deep links / deeplinks that power paid acquisition and re-engagement campaigns, referral programs, content sharing, deep linked emails, smart banners, custom user onboarding, and more.",2014-06-05 19:56:21,2024-12-19 19:22:38,2024-12-19 23:53:36,751082,730,106.0,230,Objective-C,MIT License,,2024-12-19 19:22:34,10.55
20772066,salsify/goldiloader,Just the right amount of Rails eager loading,2014-06-12 15:13:26,2024-12-19 04:15:26,2024-11-08 21:15:24,297,1614,65.0,53,Ruby,MIT License,eager-loading|ruby-on-rails|activerecord|performance|hacktoberfest|gem,2024-11-08 21:14:43,10.53
97042877,John-Connolly/SwiftQ,Distributed Task Queue ,2017-07-12 19:02:40,2023-10-11 22:18:01,2019-02-04 16:11:53,197,257,10.0,9,Swift,MIT License,swift|server-side-swift,2017-10-22 21:33:31,7.44
81975372,kdn251/interviews,Everything you need to know to get the job.,2017-02-14 18:19:25,2024-12-21 22:43:24,2024-05-13 08:48:36,24091,63741,2604.0,12908,Java,MIT License,java|interview|interview-questions|interview-practice|interview-preparation|interview-prep|algorithm|algorithm-challenges|algorithms|algorithm-competitions|technical-coding-interview|leetcode|leetcode-solutions|leetcode-java|coding-interviews|coding-interview|coding-challenge|coding-challenges|leetcode-questions|interviews,2020-06-06 02:37:07,7.85
