cb_uuid,round_announced_on,round_raised_amount_usd
53c7e35a-2078-bb61-b1a3-215976c14f1b,2016-09-29,6349900.0
7be5722b-6a70-afca-1baa-714aac1e80a8,2024-12-06,60000000.0
8c46aa4f-7c62-96d1-294c-2365e6d165c8,2024-12-07,109500000.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2009-07-10,195000.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2010-04-16,1600000.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2010-06-11,10000000.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2011-02-04,20416022.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2015-02-12,35881539.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2019-06-13,64999952.0
79ea6a55-40ea-de5d-c252-f6e31f28ca3f,2024-11-15,34566194.0
0e7ae907-9887-ed37-6618-a596643119b6,2024-11-14,230000000.0
aa64515d-6995-43bc-9a3a-9df48c645e75,2024-11-21,130574171.0
77962ea6-1b67-43f7-ba2d-a8ecd8eae95b,2024-11-04,58459172.0
c566642d-8529-bb96-c29a-5306311118de,2024-11-06,1000000000.0
0138012c-4472-bfc5-6003-934c6c1b13ed,2013-12-17,4291826.0
bb5cca0c-5ae8-1cf5-df75-c4296dbfb450,2024-10-15,600000000.0
00ec2532-840f-44f6-8a20-c42650b88b80,2019-10-17,28000000.0
00ec2532-840f-44f6-8a20-c42650b88b80,2021-01-19,35000000.0
00ec2532-840f-44f6-8a20-c42650b88b80,2022-02-23,102000000.0
00edd45f-dda8-65ab-ede7-bf4f97ac5d3e,2015-11-04,2300000.0
00edd45f-dda8-65ab-ede7-bf4f97ac5d3e,2017-05-05,11300000.0
00edd45f-dda8-65ab-ede7-bf4f97ac5d3e,2019-05-15,28000000.0
00edd45f-dda8-65ab-ede7-bf4f97ac5d3e,2020-10-31,17500000.0
00edd45f-dda8-65ab-ede7-bf4f97ac5d3e,2021-10-13,110000000.0
01c14f95-8bcb-4c82-ac65-029773fa7d0c,2023-05-04,10000000.0
3a660fea-6281-4794-a7cb-bd27ed97daf0,2024-10-28,64884337.0
01115fd8-63ed-4fbb-878a-12dc9a438cc5,2019-10-09,4393755.0
01115fd8-63ed-4fbb-878a-12dc9a438cc5,2020-01-27,6000000.0
01115fd8-63ed-4fbb-878a-12dc9a438cc5,2021-01-14,25516682.0
0112b68d-6b75-8007-4b9d-97bd478391c3,2010-08-16,16000000.0
0112b68d-6b75-8007-4b9d-97bd478391c3,2018-12-17,21832000.0
0112b68d-6b75-8007-4b9d-97bd478391c3,2021-05-27,56800000.0
0112b68d-6b75-8007-4b9d-97bd478391c3,2023-01-10,3198085.0
0112b68d-6b75-8007-4b9d-97bd478391c3,2024-09-05,87000000.0
0138012c-4472-bfc5-6003-934c6c1b13ed,2011-11-09,110324.0
0138012c-4472-bfc5-6003-934c6c1b13ed,2014-07-07,13750000.0
0138012c-4472-bfc5-6003-934c6c1b13ed,2015-12-16,15000000.0
0138012c-4472-bfc5-6003-934c6c1b13ed,2017-09-13,30000000.0
0138012c-4472-bfc5-6003-934c6c1b13ed,2019-01-04,77000000.0
0138012c-4472-bfc5-6003-934c6c1b13ed,2020-10-01,110000000.0
0138012c-4472-bfc5-6003-934c6c1b13ed,2024-05-02,15000000.0
014f4278-93e6-ff40-2266-632b43910293,2018-10-08,41018475.0
014f4278-93e6-ff40-2266-632b43910293,2020-06-04,45000000.0
014f4278-93e6-ff40-2266-632b43910293,2021-12-07,89747169.0
01770e10-8ca3-4423-a340-2a90254eeb41,2022-05-19,29792495.0
01770e10-8ca3-4423-a340-2a90254eeb41,2023-04-06,58174203.0
01770e10-8ca3-4423-a340-2a90254eeb41,2024-06-19,137797988.0
031f5047-c365-4124-b50d-fbb771c488ae,2016-12-01,1000000.0
039bbc22-1fae-4b11-8caf-705e3d09291e,2016-09-01,5750000.0
04f52814-77e2-b2c9-2d9a-4299dbb62455,2015-02-13,670552409.0
063d79b7-a0a4-b1fe-1734-6df27748ce09,2016-04-04,22300000.0
063d79b7-a0a4-b1fe-1734-6df27748ce09,2017-02-21,125000000.0
066faf41-3031-458b-9e3b-6fe482c666f8,2017-08-01,4000000.0
06e95860-73b8-a874-22c1-6019a8ef9b9a,2012-11-01,100000.0
07b2c30f-9995-4bf2-b520-77adba4135cc,2022-03-03,50000000.0
07d12b98-b35b-45e4-afa2-05bcaa11374a,2018-01-01,15000000.0
087285fe-f2d4-6434-c81b-908450a9dbe3,2016-07-28,55000000.0
150865bf-fd58-452e-be18-62193962068c,2018-01-22,220000.0
08c95848-44ec-47c0-9299-c8560f779b79,2021-10-12,735000000.0
08e303ca-3e5b-40d3-aca6-1885719e2453,2019-06-28,8000000.0
0042f9e8-4859-686d-fa8e-054717fda92e,2015-11-10,2000000.0
0042f9e8-4859-686d-fa8e-054717fda92e,2016-08-04,6000000.0
0042f9e8-4859-686d-fa8e-054717fda92e,2018-06-07,20000000.0
