domain,name,role,country,def_description,cb_uuid,dr_uuid,gh_repo_id
skype.com,Ring2Skype,company,United States,"Ring2Skype is a platform that allows users to have a local phone number forwarded to their Skype accounts, wherever they may be located.",a6e0d9fb-e377-714f-45c4-1a609142e9ad,d656cd18-d63d-4a37-a8a3-87bd8787c30e,41881900.0
joinbounce.com,Bounce,company,United States,"Bounce is a ride-share company that provides personal customer service via text, email, phone, and social media.",7972b1af-3897-4843-8c14-f3f1fec0bfa6,a9ff92b3-2928-46d4-ad9e-76fa1d6d7b73,
viniinternational.com,VINI International,company,United Arab Emirates,Vini International is in the business of Look Good - Smell Good - Feel Good.,4b290773-6a8f-457b-97de-12c5791c5159,d562cec0-d9ba-4127-916c-55c12c7af8b8,
zalora.com,ZALORA Group,company,Singapore,ZALORA Group is a software development company.,2258cbd1-dc23-427a-bdde-aeec4612f635,5aeb721c-e0e7-4ff8-b31f-8d7cb33c4214,
ifood.com.br,Alakarte,company,Brazil,Alakarte offers online food delivery services.,d4af5487-d4cc-451a-b384-b307113a2555,7ba60185-09a9-43c9-9000-ea88a806a505,
get-carrot.com,Carrot,company,United States,"Carrot is a simple and affordable way for companies of any size to build or enhance their fertility benefit. Carrot can help with egg freezing, infertility treatments including in vitro fertilization (IVF), LGBT+ conception, and more. Fertility care is daunting and scary; our focus is on improving the employee experience during high impact moments related to fertility-- helping save time, money and stress.",55b2952a-7b25-4f17-8a5d-584c2c8b209b,06784161-5700-41db-a681-1a9c064ca483,
intralinks.com,Intralinks,company,United States,Intralinks is a technology company that offers a range of firewall collaboration solutions.,a1f33d5b-b161-154e-88b9-7a41f0f4e98a,1640039b-09ae-4335-ad7f-0760cbeafb66,
igenomix.com,Igenomix,company,Spain,Igenomix specializes in providing genetic testing services for reproductive health patients and clinics.,839d6b1a-31fa-5a1c-79e3-b1ddc09c9c90,ab31140e-cd09-48e2-a837-d60797b58398,
zkasino.io,ZKasino,company,Andorra,ZKasino serves as a hyperchain infrastructure layer for on-chain gaming.,6b4a934c-58e7-4eb6-80ee-a668d808a97e,e6900ba2-250b-4e6c-ac14-117847a48c3a,
centerwellprimarycare.com,CenterWell Senior Primary Care,company,United States,"CenterWell Senior Primary Care is a hospital that provides senior care, residential care, and related medical services.",619e4385-2a35-4b9b-ab17-014fc7198364,8d3241f9-f036-4949-9115-4ef6ba768cf1,
nevs.com,National Electric Vehicle Sweden (NEVS),company,Sweden,NEVS is an automotive company that provides transportation solutions and electric vehicles to improve quality of life.,086dec7b-ab16-8533-4731-5cf99adad700,a3127863-03d8-42ce-971b-b37c74108673,
