iter	Passed	Remaining
0	9	4761
1	14	3579
2	15	2623
3	22	2760
4	26	2580
5	30	2470
6	33	2349
7	37	2304
8	41	2261
9	46	2270
10	49	2222
11	53	2168
12	56	2116
13	59	2082
14	66	2135
15	69	2105
16	73	2097
17	74	1999
18	78	1983
19	81	1966
20	86	1973
21	90	1956
22	94	1951
23	98	1946
24	102	1939
25	106	1945
26	110	1935
27	114	1928
28	116	1889
29	120	1888
30	122	1860
31	128	1881
32	132	1877
33	137	1882
34	141	1880
35	146	1886
36	151	1889
37	156	1898
38	159	1884
39	162	1871
40	167	1874
41	171	1868
42	175	1861
43	180	1865
44	183	1854
45	187	1849
46	191	1844
47	195	1844
48	200	1843
49	204	1840
50	208	1831
51	212	1831
52	215	1821
53	219	1813
54	222	1802
55	227	1803
56	231	1799
57	234	1789
58	238	1781
59	242	1778
60	246	1773
61	250	1770
62	255	1770
63	258	1759
64	262	1758
65	266	1753
66	271	1752
67	275	1752
68	280	1748
69	283	1741
70	287	1734
71	291	1731
72	295	1730
73	300	1727
74	304	1724
75	308	1721
76	312	1718
77	317	1715
78	321	1713
79	325	1709
80	330	1708
81	334	1705
82	338	1700
83	342	1694
84	343	1677
85	347	1671
86	352	1671
87	357	1675
88	361	1668
89	365	1665
90	370	1666
91	374	1659
92	379	1659
93	383	1654
94	387	1651
95	391	1646
96	394	1640
97	398	1636
98	403	1634
99	406	1625
100	411	1623
101	415	1620
102	419	1615
103	422	1610
104	426	1604
105	430	1599
106	431	1585
107	435	1580
108	436	1567
109	441	1563
110	445	1561
111	448	1554
112	452	1548
113	456	1545
114	460	1540
115	463	1535
116	468	1532
117	472	1529
118	477	1528
119	481	1523
120	485	1519
121	488	1514
122	493	1511
123	497	1509
124	501	1505
125	505	1501
126	506	1488
127	510	1484
128	514	1480
129	517	1473
130	521	1467
131	524	1463
132	526	1452
133	530	1449
134	535	1446
135	539	1443
136	544	1441
137	547	1437
138	551	1432
139	555	1428
140	560	1426
141	564	1423
142	567	1417
143	571	1413
144	577	1414
145	581	1410
146	586	1407
147	590	1404
148	595	1401
149	598	1396
150	603	1394
151	607	1389
152	611	1386
153	615	1382
154	619	1378
155	623	1373
156	627	1370
157	631	1366
158	635	1363
159	639	1359
160	643	1355
161	647	1351
162	651	1346
163	654	1341
164	658	1337
165	662	1333
166	664	1325
167	669	1322
168	672	1317
169	676	1314
170	680	1309
171	684	1306
172	688	1301
173	692	1298
174	696	1293
175	700	1288
176	704	1285
177	708	1281
178	709	1271
179	712	1266
180	715	1260
181	719	1256
182	722	1251
183	723	1242
184	727	1237
185	730	1232
186	734	1229
187	737	1223
188	742	1221
189	746	1217
190	751	1215
191	755	1211
192	760	1209
193	763	1204
194	766	1198
195	769	1194
196	773	1189
197	776	1184
198	781	1181
199	785	1178
200	789	1174
201	795	1173
202	799	1170
203	803	1165
204	806	1161
205	810	1156
206	813	1151
207	818	1148
208	821	1144
209	826	1141
210	830	1137
211	834	1133
212	838	1129
213	842	1125
214	846	1121
215	850	1118
216	854	1114
217	858	1109
218	862	1106
219	866	1102
220	869	1097
221	873	1093
222	876	1088
223	880	1084
224	884	1081
225	888	1077
226	893	1074
227	898	1072
228	902	1068
229	906	1064
230	910	1060
231	913	1055
232	917	1051
233	921	1047
234	925	1044
235	930	1040
236	933	1036
237	937	1031
238	941	1028
239	945	1024
240	949	1020
241	953	1017
242	957	1013
243	961	1009
244	965	1005
245	969	1000
246	974	997
247	978	994
248	982	990
249	985	985
250	986	978
251	991	975
252	992	969
253	996	965
254	1001	962
255	1005	958
256	1009	954
257	1013	950
258	1017	946
259	1022	943
260	1026	939
261	1030	935
262	1034	932
263	1038	928
264	1042	924
265	1045	919
266	1049	916
267	1053	912
268	1058	908
269	1061	904
270	1065	900
271	1069	896
272	1073	892
273	1077	888
274	1081	885
275	1086	881
276	1090	878
277	1094	874
278	1098	870
279	1101	865
280	1105	861
281	1109	857
282	1112	853
283	1114	847
284	1117	843
285	1122	839
286	1126	836
287	1130	831
288	1134	828
289	1137	823
290	1141	820
291	1145	816
292	1150	812
293	1153	808
294	1157	804
295	1161	800
296	1166	797
297	1170	793
298	1174	789
299	1177	785
300	1181	781
301	1182	775
302	1186	771
303	1190	767
304	1195	764
305	1198	760
306	1202	756
307	1206	752
308	1209	747
309	1214	744
310	1217	740
311	1219	734
312	1223	730
313	1227	727
314	1230	722
315	1234	718
316	1237	714
317	1241	710
318	1244	706
319	1248	702
320	1253	699
321	1258	695
322	1262	691
323	1265	687
324	1269	683
325	1274	680
326	1278	676
327	1283	672
328	1286	668
329	1290	664
330	1295	661
331	1299	657
332	1302	653
333	1306	649
334	1311	646
335	1315	641
336	1318	637
337	1322	633
338	1327	630
339	1331	626
340	1335	622
341	1340	619
342	1345	615
343	1350	612
344	1354	608
345	1360	605
346	1365	601
347	1370	598
348	1375	595
349	1380	591
350	1385	588
351	1389	584
352	1393	580
353	1397	576
354	1400	572
355	1405	568
356	1409	564
357	1413	560
358	1417	556
359	1422	553
360	1426	549
361	1430	545
362	1434	541
363	1435	536
364	1439	532
365	1442	528
366	1447	524
367	1451	520
368	1455	516
369	1459	512
370	1464	509
371	1468	505
372	1473	501
373	1478	498
374	1483	494
375	1491	491
376	1495	487
377	1498	483
378	1502	479
379	1506	475
380	1510	471
381	1515	468
382	1519	464
383	1525	460
384	1529	456
385	1534	453
386	1538	449
387	1542	445
388	1546	441
389	1550	437
390	1554	433
391	1558	429
392	1563	425
393	1569	422
394	1572	418
395	1577	414
396	1579	409
397	1583	405
398	1587	401
399	1591	397
400	1595	393
401	1599	389
402	1603	386
403	1607	382
404	1611	378
405	1616	374
406	1620	370
407	1624	366
408	1628	362
409	1632	358
410	1637	354
411	1641	350
412	1645	346
413	1649	342
414	1653	338
415	1657	334
416	1662	330
417	1666	326
418	1670	322
419	1674	318
420	1678	314
421	1682	310
422	1687	307
423	1691	303
424	1696	299
425	1699	295
426	1704	291
427	1709	287
428	1713	283
429	1717	279
430	1721	275
431	1725	271
432	1725	267
433	1730	263
434	1733	259
435	1738	255
436	1744	251
437	1749	247
438	1751	243
439	1755	239
440	1757	235
441	1761	231
442	1767	227
443	1771	223
444	1776	219
445	1781	215
446	1786	211
447	1793	208
448	1801	204
449	1805	200
450	1809	196
451	1814	192
452	1818	188
453	1823	184
454	1827	180
455	1831	176
456	1835	172
457	1839	168
458	1844	164
459	1848	160
460	1852	156
461	1853	152
462	1856	148
463	1860	144
464	1864	140
465	1869	136
466	1873	132
467	1878	128
468	1884	124
469	1889	120
470	1895	116
471	1896	112
472	1900	108
473	1905	104
474	1914	100
475	1920	96
476	1942	93
477	1944	89
478	1949	85
479	1956	81
480	1964	77
481	1969	73
482	1973	69
483	1977	65
484	1981	61
485	1986	57
486	1991	53
487	1995	49
488	2001	45
489	2005	40
490	2009	36
491	2014	32
492	2020	28
493	2024	24
494	2028	20
495	2034	16
496	2039	12
497	2043	8
498	2047	4
499	2051	0
