respondent_id,party_name,country_name,is_populist,populist_and_farleft,populist_and_farright,income_decile,income_feeling,paid_work,econ_satisfaction,unemp_3m,years_education,financial_difficulty_childhood,immig_same_ethnic,immig_diff_ethnic,immig_poor_nonEU,gay_rights_freedom,gay_adoption_rights,eu_integration,europe_attachment,country_attachment,child_obedience,leader_loyalty,tradition_important,pleasure_important,trust_politicians,trust_parties,trust_parliament,influence_on_politics,confident_participation,active_politics_role,political_interest,left_right_scale,party_closeness,ess_round,age,gender,ethnic_majority_identity,disc_nationality,disc_race,disc_ethnicity,born_in_country,citizen,how_religious,religion_belonging,religion_attendance,vote_x,vote_code,farright,farleft,eurosceptic,in_parliament,partyfacts_id,parlgov_id,vote_y
50014,"Ensemble ! (LREM, MODEM et Horizons)",France,0,0,0,6,1,0,6,2,12,5,2,2,3,2,3,6,5,10,4,4,3,3,5,5,6,4,5,5,1,5,1,11,65,1,1,0,0,0,1,1,5,1,6,1,5.0,0,0,,,,,1
50014,"Ensemble ! (LREM, MODEM et Horizons)",France,0,0,0,8,2,1,4,2,17,3,2,2,2,1,3,8,8,8,3,5,6,3,5,2,7,1,3,3,2,5,2,11,48,1,1,0,0,0,1,1,1,2,7,1,5.0,0,0,,,,,1
50014,"Ensemble ! (LREM, MODEM et Horizons)",France,0,0,0,3,3,0,5,2,9,4,2,2,3,3,4,3,2,9,2,2,3,3,1,1,2,1,2,1,4,5,2,11,80,2,2,0,0,0,1,1,7,1,3,1,5.0,0,0,,,,,2
50047,"Ensemble ! (LREM, MODEM et Horizons)",France,0,0,0,6,2,1,7,2,12,4,2,3,3,1,3,5,8,9,1,3,1,1,4,4,5,2,3,3,1,7,1,11,54,2,2,0,1,0,1,1,9,1,5,1,5.0,0,0,,,,,1
50047,"Ensemble ! (LREM, MODEM et Horizons)",France,0,0,0,7,2,0,4,2,18,4,1,1,1,1,1,6,7,8,2,3,6,2,4,4,5,3,2,1,3,4,2,11,33,2,1,0,0,0,1,1,0,2,7,1,5.0,0,0,,,,,1
50190,"Ensemble ! (LREM, MODEM et Horizons)",France,0,0,0,7,2,1,2,2,17,3,2,2,2,1,5,5,5,10,1,2,1,1,6,2,3,3,3,3,3,8,2,11,51,2,1,0,0,0,1,1,10,1,3,1,5.0,0,0,,,,,1
50190,"Ensemble ! (LREM, MODEM et Horizons)",France,0,0,0,8,1,0,3,2,15,5,1,1,1,2,2,6,6,7,2,2,3,2,1,3,4,2,3,2,2,1,1,11,68,2,1,0,0,0,1,1,2,2,7,1,5.0,0,0,,,,,1
50270,Front National / Rassemblement National,France,1,0,1,8,2,1,6,2,88,5,2,3,4,3,4,6,8,6,5,5,3,5,8,7,7,4,3,3,3,3,1,11,30,2,1,0,0,0,1,1,0,2,7,1,8.0,1,0,1.0,1.0,433.0,270.0,1
50270,Front National / Rassemblement National,France,1,0,1,6,1,0,7,2,13,5,2,2,2,2,1,7,7,7,1,2,4,2,6,6,7,4,3,3,2,6,1,11,82,1,1,0,0,0,1,1,5,2,6,1,8.0,1,0,1.0,1.0,433.0,270.0,1
50308,Les Républicains et l’UDI,France,0,0,0,10,1,1,4,2,18,5,2,2,2,1,5,3,2,5,4,5,4,2,5,5,7,3,4,3,3,7,2,11,27,1,2,0,0,1,1,1,7,1,7,1,6.0,0,0,,,,,1
50308,Les Républicains et l’UDI,France,0,0,0,2,3,1,3,2,12,2,2,2,3,3,3,4,5,5,3,2,6,1,6,3,3,2,2,3,4,8,2,11,50,2,1,0,0,0,1,1,5,2,7,1,6.0,0,0,,,,,3
